,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
300,,,,USAS,KOSS,NUWE,,,
301,,,,YHGJ,SMID,PDEX,,,
302,,,,BHST,GP,LNSR,,,
303,,,,MSAI,IMDX,ESOA,,,
304,,,,NSPR,REKR,MDWD,,,
305,,,,ATLN,KULR,NYXH,,,
306,,,,IQST,RMTI,PAYS,,,
307,,,,KULR,SCWO,EP,,,
308,,,,EP,CVRX,SLSN,,,
309,,,,WKSP,ACFN,PSQH,,,
310,,,,NTRP,BKYI,LFCR,,,
311,,,,AZ,VOXR,TSSI,,,
312,,,,CLIR,MLEC,,,,
313,,,,LEXX,IGC,,,,
314,,,,DARE,NDLS,,,,
315,,,,,SLSN,,,,
316,,,,,CDZI,,,,
317,,,,,PPSI,,,,
318,,,,,EP,,,,
319,,,,,MSAI,,,,
320,,,,,IQST,,,,
321,,,,,AIRT,,,,
322,,,,,MDXH,,,,
323,,,,,BRLS,,,,
324,,,,,KOPN,,,,
325,,,,,UAMY,,,,
326,,,,,TSSI,,,,
327,,,,,ATLX,,,,
328,,,,,IDR,,,,
329,,,,,AZ,,,,
330,,,,,DUOT,,,,
331,,,,,OBIO,,,,
332,,,,,MDWD,,,,
