2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
CNX,CNX,CDW,CDW,CDW,CDW,WEX,WEX
CNXC,CNXC,CELH,CELH,CELH,CELH,WFG,WFG
COLD,COLD,CGNX,CGNX,CGNX,CGNX,WHD,WHD
COOP,COOP,CHGG,CHGG,CHGG,CHGG,WING,WING
CPIX,CPIX,CHRD,CHRD,CHRD,CHRD,WMG,WMG
CPRX,CPRX,CIEN,CIEN,CIEN,CIEN,WU,WU
CPS,CPS,CIVI,CIVI,CIVI,CIVI,XEL,XEL
CRESY,CRESY,CLBT,CLBT,CLBT,CLBT,XHR,XHR
CROX,CROX,CLF,CLF,CLF,CLF,XYZ,XYZ
CTEV,CTEV,CMPO,CMPO,CMPO,CMPO,YALA,YALA
CTRM,CTRM,CMS,CMS,CMS,CMS,YUM,YUM
CWK,CWK,CNI,CNI,CNI,CNI,Z,Z
CWT,CWT,CNNE,CNNE,CNNE,CNNE,ZBH,ZBH
CXDO,CXDO,CNX,CNX,CNX,CNX,ZD,ZD
CYH,CYH,CNXC,CNXC,CNXC,CNXC,ZEUS,ZEUS
DAIO,DAIO,COLD,COLD,COLD,COLD,ZG,ZG
DGII,DGII,COMM,COMM,COMM,COMM,ZS,ZS
DIN,DIN,COR,COR,COR,COR,ZYXI,ZYXI
DKL,DKL,CP,CP,CP,CP,A,A
DLB,DLB,CPIX,CPIX,CPIX,CPIX,AAP,AAP
DNB,DNB,CPK,CPK,CPK,CPK,AAPL,AAPL
DNOW,DNOW,CPT,CPT,CPT,CPT,ACA,ACA
DRI,DRI,CSGP,CSGP,CSGP,CSGP,ACU,ACU
DRIO,DRIO,CSTE,CSTE,CSTE,CSTE,ADN,ADN
DUK,DUK,CTEV,CTEV,CTEV,CTEV,ADNT,ADNT
DVA,DVA,CTRA,CTRA,CTRA,CTRA,ADPT,ADPT
DXCM,DXCM,CTVA,CTVA,CTVA,CTVA,ADTN,ADTN
DXPE,DXPE,CVX,CVX,CVX,CVX,ADUS,ADUS
EAF,EAF,CWEN,CWEN,CWEN,CWEN,ADV,ADV
EAT,EAT,DAC,DAC,DAC,DAC,AEE,AEE
EBR,EBR,DAR,DAR,DAR,DAR,AEYE,AEYE
ECL,ECL,DEI,DEI,DEI,DEI,AG,AG
EDN,EDN,DEO,DEO,DEO,DEO,AGI,AGI
EEFT,EEFT,DGX,DGX,DGX,DGX,AIV,AIV
EFX,EFX,DIOD,DIOD,DIOD,DIOD,ALCO,ALCO
EGAN,EGAN,DKNG,DKNG,DKNG,DKNG,ALE,ALE
EGY,EGY,DLHC,DLHC,DLHC,DLHC,ALTG,ALTG
EIX,EIX,DTE,DTE,DTE,DTE,AMAT,AMAT
EL,EL,DVN,DVN,DVN,DVN,AMGN,AMGN
ELAN,ELAN,EAT,EAT,EAT,EAT,AMPY,AMPY
ELP,ELP,EBAY,EBAY,EBAY,EBAY,AMRX,AMRX
ELSE,ELSE,EBR,EBR,EBR,EBR,AMWL,AMWL
ENB,ENB,EC,EC,EC,EC,ANET,ANET
ENR,ENR,ED,ED,ED,ED,ANGO,ANGO
EPC,EPC,EEFT,EEFT,EEFT,EEFT,ANIK,ANIK
ERIC,ERIC,EFX,EFX,EFX,EFX,AON,AON
EU,EU,EFXT,EFXT,EFXT,EFXT,AOSL,AOSL
EVC,EVC,EHTH,EHTH,EHTH,EHTH,API,API
EW,EW,ELAN,ELAN,ELAN,ELAN,APT,APT
EXEL,EXEL,ELP,ELP,ELP,ELP,ARCB,ARCB
F,F,ENOV,ENOV,ENOV,ENOV,ARKR,ARKR
FAST,FAST,EOLS,EOLS,EOLS,EOLS,ARQ,ARQ
FDS,FDS,EQR,EQR,EQR,EQR,ASH,ASH
FDX,FDX,EQT,EQT,EQT,EQT,ASML,ASML
FE,FE,ERII,ERII,ERII,ERII,ASND,ASND
