total,url,exchangeId,instrumentType,symbolTicker,symbolExchangeTicker,normalizedTicker,symbolEsignalTicker,instrumentName,micCode
6703,https://www.nyse.com/quote/XNGS:LOPE,564,COMMON_STOCK,LOPE,LOPE,LOPE,LOPE,GRAND CANYON EDUCATION,XNGS
6703,https://www.nyse.com/quote/XNGS:LOT,564,COMMON_STOCK,LOT,LOT,LOT,LOT,LOTUS TECHNOLOGY INC,XNGS
6703,https://www.nyse.com/quote/XNMS:LOVE,564,COMMON_STOCK,LOVE,LOVE,LOVE,LOVE,LOVESAC COMPANY,XNMS
6703,https://www.nyse.com/quote/XNYS:LOW,558,COMMON_STOCK,LOW,LOW,LOW,LOW,LOWE'S COMPANIES INC,XNYS
6703,https://www.nyse.com/quote/XASE:LPA,545,COMMON_STOCK,LPA,LPA,LPA,LPA,LOGISTIC PROPERTIES OF THE AMERICAS,XASE
6703,https://www.nyse.com/quote/XNMS:LPAA,564,COMMON_STOCK,LPAA,LPAA,LPAA,LPAA,LAUNCH ONE ACQUISITION CORP,XNMS
6703,https://www.nyse.com/quote/XNMS:LPAAU,564,UNIT,LPAAU,LPAAU,LPAAU,LPAAU,LAUNCH ONE ACQUISITION CORP UNIT (1 CL A ORD SHS & 1/2 RED WT),XNMS
6703,https://www.nyse.com/quote/XNMS:LPBB,564,COMMON_STOCK,LPBB,LPBB,LPBB,LPBB,LAUNCH TWO ACQUISITION CORP,XNMS
6703,https://www.nyse.com/quote/XNCM:LPCN,564,COMMON_STOCK,LPCN,LPCN,LPCN,LPCN,LIPOCINE INC,XNCM
6703,https://www.nyse.com/quote/XNYS:LPG,558,COMMON_STOCK,LPG,LPG,LPG,LPG,DORIAN LPG LIMITED,XNYS
6703,https://www.nyse.com/quote/XNYS:LPL,558,DEPOSITORY_RECEIPT,LPL,LPL,LPL,LPL,LG DISPLAY CO LTD ADR EA REP 1/2 KRW5000,XNYS
6703,https://www.nyse.com/quote/XNGS:LPLA,564,COMMON_STOCK,LPLA,LPLA,LPLA,LPLA,LPL FINL HLDGS INC,XNGS
6703,https://www.nyse.com/quote/XNMS:LPRO,564,COMMON_STOCK,LPRO,LPRO,LPRO,LPRO,OPEN LENDING CORPORATION,XNMS
6703,https://www.nyse.com/quote/XNGS:LPSN,564,COMMON_STOCK,LPSN,LPSN,LPSN,LPSN,LIVEPERSON INC,XNGS
6703,https://www.nyse.com/quote/XNCM:LPTH,564,COMMON_STOCK,LPTH,LPTH,LPTH,LPTH,LIGHTPATH TECHNOLOGY INC,XNCM
6703,https://www.nyse.com/quote/XNCM:LPTX,564,COMMON_STOCK,LPTX,LPTX,LPTX,LPTX,LEAP THERAPEUTICS INC,XNCM
6703,https://www.nyse.com/quote/XNYS:LPX,558,COMMON_STOCK,LPX,LPX,LPX,LPX,LOUISIANA-PACIFIC CORP,XNYS
6703,https://www.nyse.com/quote/XNCM:LQDA,564,COMMON_STOCK,LQDA,LQDA,LQDA,LQDA,LIQUIDIA CORPORATION,XNCM
6703,https://www.nyse.com/quote/XNGS:LQDT,564,COMMON_STOCK,LQDT,LQDT,LQDT,LQDT,LIQUIDITY SVCS INC,XNGS
6703,https://www.nyse.com/quote/XNGS:LRCX,564,COMMON_STOCK,LRCX,LRCX,LRCX,LRCX,LAM RESEARCH CORP,XNGS
6703,https://www.nyse.com/quote/XNCM:LRE,564,DEPOSITORY_RECEIPT,LRE,LRE,LRE,LRE,LEAD REAL ESTATE CO LTD SPON ADS EACH REP 1 ORD SHS,XNCM
6703,https://www.nyse.com/quote/XNGS:LRFC,564,COMMON_STOCK,LRFC,LRFC,LRFC,LRFC,LOGAN RIDGE FIN CORP,XNGS
6703,https://www.nyse.com/quote/XNCM:LRHC,564,COMMON_STOCK,LRHC,LRHC,LRHC,LRHC,LA ROSA HOLDINGS CORP.,XNCM
6703,https://www.nyse.com/quote/XNMS:LRMR,564,COMMON_STOCK,LRMR,LRMR,LRMR,LRMR,LARIMAR THERAPEUTICS INC,XNMS
6703,https://www.nyse.com/quote/XNYS:LRN,558,COMMON_STOCK,LRN,LRN,LRN,LRN,STRIDE INC,XNYS
6703,https://www.nyse.com/quote/XNGS:LSAK,564,COMMON_STOCK,LSAK,LSAK,LSAK,LSAK,LESAKA TECHNOLOGIES INC,XNGS
6703,https://www.nyse.com/quote/XNCM:LSB,564,COMMON_STOCK,LSB,LSB,LSB,LSB,LAKESHORE BIOPHARMA CO LTD,XNCM
6703,https://www.nyse.com/quote/XNMS:LSBK,564,COMMON_STOCK,LSBK,LSBK,LSBK,LSBK,LAKE SHORE BANCORP,XNMS
6703,https://www.nyse.com/quote/XNGS:LSCC,564,COMMON_STOCK,LSCC,LSCC,LSCC,LSCC,LATTICE SEMICONDUCTOR,XNGS
6703,https://www.nyse.com/quote/XNCM:LSE,564,COMMON_STOCK,LSE,LSE,LSE,LSE,LEISHEN ENERGY HLDG CO LTD,XNCM
6703,https://www.nyse.com/quote/XNCM:LSEA,564,COMMON_STOCK,LSEA,LSEA,LSEA,LSEA,LANDSEA HOMES CORPORATION,XNCM
6703,https://www.nyse.com/quote/XASE:LSF,545,COMMON_STOCK,LSF,LSF,LSF,LSF,LAIRD SUPERFOOD INC,XASE
6703,https://www.nyse.com/quote/XNCM:LSH,564,COMMON_STOCK,LSH,LSH,LSH,LSH,LAKESIDE HOLDING LTD,XNCM
6703,https://www.nyse.com/quote/XNYS:LSPD,558,COMMON_STOCK,LSPD,LSPD,LSPD,LSPD,LIGHTSPEED COMMERCE INC,XNYS
