total,url,normalizedTicker,instrumentName,symbolExchangeTicker,exchangeId,instrumentType,symbolTicker,symbolEsignalTicker,micCode
6776,https://www.nyse.com/quote/XNYS:AGMpG,AGMpG,FEDERAL AGRICULTURAL MORTGAGE CORP 4.875% NON CUMULATIVE PREF STOCK SR G,AGMpG,,,,,
6776,https://www.nyse.com/quote/XNGS:AGNC,AGNC,AGNC INVESTMENT CORP,AGNC,,,,,
6776,https://www.nyse.com/quote/XNGS:AGNCL,AGNCL,AGNC INVESTMENT CORP DEP SHS REPSTG 1/1000TH PFD SER G,AGNCL,,,,,
6776,https://www.nyse.com/quote/XNGS:AGNCM,AGNCM,AGNC INVESTMENT CORP 6.875% DEP SHS REP 1/1000TH PFD SR D,AGNCM,,,,,
6776,https://www.nyse.com/quote/XNGS:AGNCN,AGNCN,AGNC INVESTMENT CORP 7% CUM RED REP 1/1000 INT PFD SHS SER C,AGNCN,,,,,
6776,https://www.nyse.com/quote/XNGS:AGNCO,AGNCO,AGNC INVESTMENT CORP 6.50% DEP SHS REP 1/1000 CUM PFD SER E,AGNCO,,,,,
6776,https://www.nyse.com/quote/XNGS:AGNCP,AGNCP,AGNC INVESTMENT CORP 6.125% CUM RED PREF STK SERIES F,AGNCP,,,,,
6776,https://www.nyse.com/quote/XNYS:AGO,AGO,ASSURED GUARANTY LTD,AGO,,,,,
6776,https://www.nyse.com/quote/XNCM:AGRI,AGRI,AGRIFORCE GROWING SYS LTD,AGRI,,,,,
6776,https://www.nyse.com/quote/XNYS:AGRO,AGRO,ADECOAGRO S A,AGRO,,,,,
6776,https://www.nyse.com/quote/XNYS:AGX,AGX,ARGAN INC,AGX,,,,,
6776,https://www.nyse.com/quote/XNGS:AGYS,AGYS,AGILYSYS INC,AGYS,,,,,
6776,https://www.nyse.com/quote/XNCM:AHCO,AHCO,ADAPTHEALTH CORP,AHCO,,,,,
6776,https://www.nyse.com/quote/XNCM:AHG,AHG,AKSO HEALTH GROUP SPON ADS EACH REP 3 ORD SHS,AHG,,,,,
6776,https://www.nyse.com/quote/XNYS:AHH,AHH,ARMADA HOFFLER PPTYS INC,AHH,,,,,
6776,https://www.nyse.com/quote/XNYS:AHHpA,AHHpA,ARMADA HOFFLER PPTYS INC 6.75% CUM RED PERP PREF STOCK SERIES A,AHHpA,,,,,
6776,https://www.nyse.com/quote/XNYS:AHL,AHL,ASPEN INSURANCE HLDGS,AHL,,,,,
6776,https://www.nyse.com/quote/XNYS:AHLpD,AHLpD,ASPEN INSURANCE HLDGS 5.625%NON CUM PERP PFD SHS USD25,AHLpD,,,,,
6776,https://www.nyse.com/quote/XNYS:AHLpE,AHLpE,ASPEN INSURANCE HLDGS 5.625 DEP SHS REP 1/1000TH PFD SHS,AHLpE,,,,,
6776,https://www.nyse.com/quote/XNYS:AHLpF,AHLpF,ASPEN INSURANCE HLDGS 7 DEP SHS EA REP 1/1000TH INT PFD,AHLpF,,,,,
6776,https://www.nyse.com/quote/XNYS:AHR,AHR,AMERICAN HEALTHCARE REIT INC,AHR,,,,,
6776,https://www.nyse.com/quote/XNYS:AHT,AHT,ASHFORD HOSPITALITY TRUST INC,AHT,,,,,
6776,https://www.nyse.com/quote/XNYS:AHTpD,AHTpD,ASHFORD HOSPITALITY TRUST INC 8.45% CUM PRF STK SER'D' USD25,AHTpD,,,,,
6776,https://www.nyse.com/quote/XNYS:AHTpF,AHTpF,ASHFORD HOSPITALITY TRUST INC 7.375% PFD CUM SER F USD25,AHTpF,,,,,
6776,https://www.nyse.com/quote/XNYS:AHTpG,AHTpG,ASHFORD HOSPITALITY TRUST INC CUM PFD SER G,AHTpG,,,,,
6776,https://www.nyse.com/quote/XNYS:AHTpH,AHTpH,ASHFORD HOSPITALITY TRUST INC 7.50% CUMULATIVE PRFD STK SER H USD25,AHTpH,,,,,
