2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
KVHI,KVHI,LSAK,LSAK,LSAK,LSAK,FN,FN
LLY,LLY,LSTR,LSTR,LSTR,LSTR,FND,FND
LMNR,LMNR,LVS,LVS,LVS,LVS,FNKO,FNKO
LNG,LNG,LXP,LXP,LXP,LXP,FORM,FORM
LNTH,LNTH,LYFT,LYFT,LYFT,LYFT,FORTY,FORTY
LYB,LYB,MANH,MANH,MANH,MANH,FRPT,FRPT
LYV,LYV,MDXG,MDXG,MDXG,MDXG,FSLR,FSLR
MA,MA,MED,MED,MED,MED,FSLY,FSLY
MAA,MAA,MEDP,MEDP,MEDP,MEDP,FSS,FSS
MANH,MANH,MELI,MELI,MELI,MELI,FSTR,FSTR
MAT,MAT,META,META,META,META,FTNT,FTNT
MCFT,MCFT,METC,METC,METC,METC,GDDY,GDDY
MEC,MEC,MMC,MMC,MMC,MMC,GETY,GETY
MEDP,MEDP,MO,MO,MO,MO,GM,GM
MERC,MERC,MRC,MRC,MRC,MRC,GOLF,GOLF
METC,METC,MSM,MSM,MSM,MSM,GRAB,GRAB
MHO,MHO,MUSA,MUSA,MUSA,MUSA,GRMN,GRMN
MLM,MLM,NAT,NAT,NAT,NAT,GTIM,GTIM
MMSI,MMSI,NATR,NATR,NATR,NATR,HCA,HCA
MPLX,MPLX,NDAQ,NDAQ,NDAQ,NDAQ,HCKT,HCKT
MPWR,MPWR,NET,NET,NET,NET,HCSG,HCSG
MRTN,MRTN,NGS,NGS,NGS,NGS,HIMS,HIMS
MSM,MSM,NICE,NICE,NICE,NICE,HL,HL
MTSI,MTSI,NOTV,NOTV,NOTV,NOTV,HLIO,HLIO
MU,MU,NOW,NOW,NOW,NOW,HLIT,HLIT
MXL,MXL,NTIC,NTIC,NTIC,NTIC,HNI,HNI
NBIX,NBIX,NVGS,NVGS,NVGS,NVGS,HOV,HOV
NDAQ,NDAQ,NYT,NYT,NYT,NYT,HUBG,HUBG
NEU,NEU,PAYO,PAYO,PAYO,PAYO,HUBS,HUBS
NTNX,NTNX,PBA,PBA,PBA,PBA,HURN,HURN
NTR,NTR,PCG,PCG,PCG,PCG,IAG,IAG
NVMI,NVMI,PDEX,PDEX,PDEX,PDEX,IDCC,IDCC
ODFL,ODFL,PII,PII,PII,PII,IESC,IESC
OI,OI,PLAB,PLAB,PLAB,PLAB,III,III
OIS,OIS,PLNT,PLNT,PLNT,PLNT,INTU,INTU
OLED,OLED,PLPC,PLPC,PLPC,PLPC,IP,IP
OPRA,OPRA,PM,PM,PM,PM,IRDM,IRDM
ORA,ORA,PNTG,PNTG,PNTG,PNTG,IT,IT
OUT,OUT,PODD,PODD,PODD,PODD,ITW,ITW
OXY,OXY,POWL,POWL,POWL,POWL,K,K
PAM,PAM,PPL,PPL,PPL,PPL,KAR,KAR
PAMT,PAMT,PRKS,PRKS,PRKS,PRKS,KBH,KBH
PBA,PBA,PRSU,PRSU,PRSU,PRSU,KDP,KDP
PCAR,PCAR,PSFE,PSFE,PSFE,PSFE,KHC,KHC
PCG,PCG,PSHG,PSHG,PSHG,PSHG,KMB,KMB
PCRX,PCRX,PSMT,PSMT,PSMT,PSMT,KNOP,KNOP
PCYO,PCYO,PYPL,PYPL,PYPL,PYPL,KOF,KOF
PENG,PENG,PZZA,PZZA,PZZA,PZZA,KTB,KTB
PEP,PEP,QSR,QSR,QSR,QSR,KW,KW
PFE,PFE,RAIL,RAIL,RAIL,RAIL,LEDS,LEDS
PG,PG,RBBN,RBBN,RBBN,RBBN,LH,LH
PI,PI,RCKY,RCKY,RCKY,RCKY,LII,LII
PK,PK,RCL,RCL,RCL,RCL,LIN,LIN
PKG,PKG,RDVT,RDVT,RDVT,RDVT,LIVN,LIVN
PLOW,PLOW,RMBS,RMBS,RMBS,RMBS,LKQ,LKQ
PLTR,PLTR,RNG,RNG,RNG,RNG,LMB,LMB
PMTS,PMTS,ROCK,ROCK,ROCK,ROCK,LMNR,LMNR
PNTG,PNTG,RPD,RPD,RPD,RPD,LNW,LNW
POOL,POOL,RSG,RSG,RSG,RSG,LOPE,LOPE
PRPH,PRPH,RSSS,RSSS,RSSS,RSSS,LSAK,LSAK
PRTS,PRTS,SBAC,SBAC,SBAC,SBAC,LW,LW
PSX,PSX,SBH,SBH,SBH,SBH,LWAY,LWAY
PUMP,PUMP,SBS,SBS,SBS,SBS,LYFT,LYFT
PWR,PWR,SCHL,SCHL,SCHL,SCHL,MAN,MAN
QCOM,QCOM,SEM,SEM,SEM,SEM,MCD,MCD
QIPT,QIPT,SHAK,SHAK,SHAK,SHAK,MCO,MCO
QLYS,QLYS,SHEN,SHEN,SHEN,SHEN,MED,MED
QSR,QSR,SLP,SLP,SLP,SLP,MEOH,MEOH
QUAD,QUAD,SMHI,SMHI,SMHI,SMHI,MHH,MHH
RACE,RACE,SON,SON,SON,SON,MHO,MHO
RBA,RBA,SONY,SONY,SONY,SONY,MMI,MMI
RCKY,RCKY,SPB,SPB,SPB,SPB,MMSI,MMSI
REI,REI,SPG,SPG,SPG,SPG,MNKD,MNKD
RMAX,RMAX,SPOT,SPOT,SPOT,SPOT,MPLX,MPLX
ROCK,ROCK,SPSC,SPSC,SPSC,SPSC,MRC,MRC
RTO,RTO,SRE,SRE,SRE,SRE,MSEX,MSEX
SAH,SAH,SRI,SRI,SRI,SRI,MTW,MTW
SBAC,SBAC,SSD,SSD,SSD,SSD,MWA,MWA
SBS,SBS,SSTK,SSTK,SSTK,SSTK,NATR,NATR
SEE,SEE,STM,STM,STM,STM,NDAQ,NDAQ
SEI,SEI,STN,STN,STN,STN,NEPH,NEPH
SGRY,SGRY,STRL,STRL,STRL,STRL,NET,NET
SKYW,SKYW,SWX,SWX,SWX,SWX,NEXA,NEXA
SLP,SLP,SXC,SXC,SXC,SXC,NFLX,NFLX
SMPL,SMPL,TAC,TAC,TAC,TAC,NGD,NGD
SNN,SNN,TBCH,TBCH,TBCH,TBCH,NICE,NICE
SNPS,SNPS,TCMD,TCMD,TCMD,TCMD,NOA,NOA
SON,SON,TDC,TDC,TDC,TDC,NOTE,NOTE
SSP,SSP,TEVA,TEVA,TEVA,TEVA,NRG,NRG
STAA,STAA,TGB,TGB,TGB,TGB,NSC,NSC
STLA,STLA,TOL,TOL,TOL,TOL,NSSC,NSSC
STM,STM,TPB,TPB,TPB,TPB,NTIC,NTIC
STX,STX,TR,TR,TR,TR,NTNX,NTNX
SUZ,SUZ,TTD,TTD,TTD,TTD,NTWK,NTWK
TAC,TAC,TWI,TWI,TWI,TWI,NVGS,NVGS
TECK,TECK,TZOO,TZOO,TZOO,TZOO,NWL,NWL
TEX,TEX,UAL,UAL,UAL,UAL,OPFI,OPFI
TGLS,TGLS,UBER,UBER,UBER,UBER,ORLA,ORLA
THRY,THRY,UCL,UCL,UCL,UCL,ORN,ORN
TIGO,TIGO,UDR,UDR,UDR,UDR,OTTR,OTTR
TNL,TNL,UL,UL,UL,UL,PAAS,PAAS
TOL,TOL,ULBI,ULBI,ULBI,ULBI,PAYO,PAYO
TPIC,TPIC,USIO,USIO,USIO,USIO,PCG,PCG
TR,TR,VALU,VALU,VALU,VALU,PCYO,PCYO
TSN,TSN,VC,VC,VC,VC,PEP,PEP
TSQ,TSQ,VERX,VERX,VERX,VERX,PHM,PHM
TTI,TTI,VIST,VIST,VIST,VIST,PK,PK
TYL,TYL,VITL,VITL,VITL,VITL,PLNT,PLNT
UAL,UAL,VPG,VPG,VPG,VPG,PLTR,PLTR
UDR,UDR,VRSN,VRSN,VRSN,VRSN,POR,POR
UFPI,UFPI,WAB,WAB,WAB,WAB,POST,POST
UL,UL,WBD,WBD,WBD,WBD,PR,PR
UNFI,UNFI,WELL,WELL,WELL,WELL,PRSU,PRSU
UNP,UNP,WEN,WEN,WEN,WEN,PTC,PTC
USAC,USAC,WHD,WHD,WHD,WHD,PWR,PWR
UTHR,UTHR,WILC,WILC,WILC,WILC,QGEN,QGEN
UTI,UTI,WING,WING,WING,WING,QUAD,QUAD
V,V,WOR,WOR,WOR,WOR,QXO,QXO
VALU,VALU,WTTR,WTTR,WTTR,WTTR,R,R
VERI,VERI,WWW,WWW,WWW,WWW,RACE,RACE
VREX,VREX,XRX,XRX,XRX,XRX,RBA,RBA
VRSK,VRSK,YALA,YALA,YALA,YALA,RDVT,RDVT
VRTX,VRTX,ZBH,ZBH,ZBH,ZBH,RDWR,RDWR
VTRS,VTRS,ZEPP,ZEPP,ZEPP,ZEPP,REYN,REYN
WAB,WAB,A,A,A,A,RIO,RIO
WBA,WBA,AAOI,AAOI,AAOI,AAOI,RLGT,RLGT
WCC,WCC,AAP,AAP,AAP,AAP,RMD,RMD
WM,WM,ABT,ABT,ABT,ABT,ROL,ROL
WMB,WMB,ACA,ACA,ACA,ACA,RRR,RRR
XEL,XEL,ACEL,ACEL,ACEL,ACEL,RTO,RTO
XIFR,XIFR,ACHC,ACHC,ACHC,ACHC,RVTY,RVTY
XPRO,XPRO,ACN,ACN,ACN,ACN,RYAM,RYAM
ZBH,ZBH,ACTG,ACTG,ACTG,ACTG,SAM,SAM
ZEUS,ZEUS,AEP,AEP,AEP,AEP,SANG,SANG
ZYXI,ZYXI,AEYE,AEYE,AEYE,AEYE,SB,SB
