2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
,,ICLR,RACE,ELAN,PAY,ITGR,
,,ATNI,SBH,DE,PAM,SNOW,
,,ESOA,NTGR,IRTC,HRL,SLB,
,,POWL,RVTY,AMCX,F,NVGS,
,,GTM,VIST,AWI,RBA,HYFM,
,,TRN,STKL,GHC,CHCI,TE,
,,CBOE,KTCC,INSW,VIST,TLS,
,,GPN,CAL,IR,ROCK,ARLO,
,,WPRT,HI,KEX,EFX,CRVL,
,,CENX,OSS,KHC,POWL,RFIL,
,,TKC,BLDE,GPK,MLP,FCX,
,,PTEN,IPG,ADTN,ATEN,HAE,
,,CE,INGR,TH,DIS,MTX,
,,COR,VVV,BBU,GMAB,ICLR,
,,TH,MLR,JBTM,ITGR,CWEN,
,,WLFC,GTM,IRDM,TGS,EXAS,
,,CVI,ALLT,DXPE,ALK,IMAX,
,,ELAN,WRAP,ATNI,CSBR,OI,
,,TNK,OPCH,FLL,XYZ,ONL,
,,LW,MLM,MLM,LFVN,ODC,
,,CMT,GASS,DAL,INVX,FSTR,
,,FLL,IFF,PAYC,AXTA,WFRD,
,,ALSN,TOON,AMGN,VMI,FLS,
,,MLM,MATV,WING,KGC,IPI,
,,KNTK,XYL,VMC,GBX,GLOB,
,,TTI,PZZA,TSLA,NDAQ,BATL,
,,QNST,PDEX,TYL,SPSC,CCRD,
,,PSIX,ALRM,WOW,STNG,SMC,
,,PI,SKY,RPD,NVRI,RBA,
,,MEDP,TRUG,LBRT,FSS,BLD,
,,CSPI,SLB,VIST,PSIX,AXTA,
,,NEM,EVH,CROX,MOD,CPRT,
,,EXPE,TYL,ACLS,RCKY,VERX,
,,STM,AFYA,NICE,CAAP,SAIA,
,,PWR,VMC,HPE,EIX,KODK,
,,B,JOE,RNGR,TGNA,BRO,
,,CWCO,JELD,GEN,TRN,FROG,
,,RVTY,SON,CSPI,LPX,TTEK,
,,LUMN,AXTA,ADP,GLOB,ARIS,
,,OGN,MOD,MEDP,PPC,WNS,
,,ICE,CCSI,QLYS,CWEN,TPB,
,,ACMR,TECH,LNG,MTW,FET,
,,JOE,DAC,ALIT,TWIN,MOD,
,,PODD,ENPH,CMPO,CTLP,GLDD,
,,BAK,LNG,CE,SGI,AMD,
,,USEG,EME,PCRX,MHO,PDM,
,,CNR,IT,AA,AES,NVMI,
,,CHCI,IHRT,IDCC,HFFG,TCX,
,,PAYS,CLW,CPRT,ACVA,EXP,
,,VRT,ALLE,DDS,SMC,SMID,
,,CVGW,WST,NOV,LEGH,DIS,
,,FN,DORM,DNOW,VALU,FSLY,
,,VAL,LWAY,DLTR,RCL,ROAD,
,,CLW,PWR,GIFI,NGVT,CRM,
,,CAAP,VITL,ACMR,TSSI,USLM,
,,STRL,AA,HP,NCLH,HOV,
,,COMM,TSLA,LOCO,SMID,FRHC,
,,MGNI,XPRO,OMC,STEM,PSIX,
,,RYAM,VRNT,XPRO,WILC,NCLH,
,,CEPU,AMCX,PLAB,IPI,LPX,
,,,DOUG,SON,STRL,ULH,
,,,SCS,TNK,FCX,POWL,
,,,DAL,DAVA,AVNW,PLTR,
,,,FNKO,BBCP,FLEX,NVRI,
,,,FIX,VREX,VIV,RCL,
,,,UIS,FN,TSM,ESOA,
,,,TRN,STRL,WLFC,MVST,
,,,DOCU,RYAM,SSNC,UAL,
,,,TKC,ICE,EDN,NBR,
,,,DXPE,TPIC,SSRM,FOUR,
,,,GDDY,HAE,USLM,NGS,
,,,HPQ,BLD,FN,STRL,
,,,VC,TSE,CME,CHCI,
,,,SLSN,TRN,NVMI,WEX,
,,,CAAP,USLM,ADTN,MPAA,
,,,TH,LUMN,NGS,WLFC,
,,,EXP,NE,ROAD,TSSI,
,,,RNGR,CHCI,DDI,PAYO,
,,,NICE,IPG,SAIA,RAIL,
,,,ACLS,TRUP,BIO,,
,,,BIP,SLSN,ARMN,,
,,,WLFC,TEX,CMBT,,
,,,EVLV,PERI,MVST,,
,,,NSSC,WLFC,NBR,,
,,,BRO,PAYS,PAYO,,
,,,TOL,EME,BATL,,
,,,GMGI,CCO,SHEN,,
,,,SSD,CBZ,RAIL,,
,,,TNK,NEM,UAL,,
,,,CEPU,TTI,,,
,,,HP,ESOA,,,
,,,CENX,ROAD,,,
,,,ALSN,COMM,,,
,,,NE,TRGP,,,
,,,NEM,VRNT,,,
,,,RYAM,GASS,,,
,,,CE,CVI,,,
,,,BBU,VAL,,,
,,,MEDP,MGNI,,,
,,,ICLR,LOMA,,,
,,,ACMR,CEPU,,,
,,,ALK,,,,
,,,CHCI,,,,
,,,STRL,,,,
,,,PLAB,,,,
,,,CMPO,,,,
,,,AXR,,,,
,,,VERX,,,,
,,,VRT,,,,
,,,KOSS,,,,
,,,FOUR,,,,
,,,TSE,,,,
,,,COMM,,,,
,,,THRM,,,,
,,,PSIX,,,,
,,,DAVA,,,,
,,,FN,,,,
,,,TRUP,,,,
,,,CSTE,,,,
,,,MGNI,,,,
,,,LOMA,,,,
,,,WNC,,,,
,,,TPIC,,,,
,,,LUMN,,,,
